,links
43,https://safecomputing.umich.edu/two-factor-authentication/support
44,https://safecomputing.umich.edu/two-factor-authentication/faq
45,https://safecomputing.umich.edu/two-factor-authentication/upcoming-changes-to-duo
46,https://safecomputing.umich.edu/two-factor-authentication/implementing-systems-services
47,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#fdc9b5b8b1adbd8890949e95d3989988
48,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#2d4c4f585e486d5840444e4503484958
49,https://safecomputing.umich.edu/protect-yourself/phishing-scams/report-phishing-email
50,https://safecomputing.umich.edu/protect-yourself/phishing-scams/spot-phishing-scams
51,https://safecomputing.umich.edu/protect-yourself/phishing-scams/common-scams
52,https://safecomputing.umich.edu/protect-yourself/phishing-suspicious-email#If%20You%20Get%20Caught
53,https://safecomputing.umich.edu/protect-yourself/scams-fraud/job-offer-scams
54,https://safecomputing.umich.edu/protect-yourself/phishing-scams/how-to-spot-a-spoof
55,https://safecomputing.umich.edu/cdn-cgi/l/email-protection
56,https://safecomputing.umich.edu/protect-yourself/scams-fraud/tutoring-overpayment
57,https://safecomputing.umich.edu/protect-yourself/protect-your-passwords/compromised-accounts/identity-theft
58,https://safecomputing.umich.edu/protect-yourself/protect-your-passwords/compromised-accounts
59,https://safecomputing.umich.edu/protect-yourself/protect-your-passwords/
60,https://safecomputing.umich.edu/protect-yourself/protect-your-passwords/compromised-accounts/what-do-if-your-account-compromised
61,https://safecomputing.umich.edu/protect-yourself/protect-your-passwords/compromised-accounts/how-um-addresses
62,https://safecomputing.umich.edu/protect-yourself/manage-your-passwords/consider-password-manager
63,https://safecomputing.umich.edu/protect-yourself/manage-your-passwords
64,https://safecomputing.umich.edu/protect-yourself/manage-your-passwords/password-security-checklist
65,https://safecomputing.umich.edu/protect-yourself/manage-your-passwords/apple-biometrics-login
66,https://safecomputing.umich.edu/protect-yourself/encrypt-your-data
67,https://safecomputing.umich.edu/protect-yourself/secure-your-devices/personal-computer
68,https://safecomputing.umich.edu/protect-yourself/secure-your-devices/mobile
69,https://safecomputing.umich.edu/protect-yourself/secure-your-devices/home-wireless-network
70,https://safecomputing.umich.edu/protect-yourself/be-safe-online/working-remotely
71,https://safecomputing.umich.edu/protect-yourself/prepare-devices-disposal
72,https://safecomputing.umich.edu/protect-yourself/secure-your-devices/for-you-and-the-u
73,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/sensitive-um-data-on-personal-devices
74,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/your-responsibilities
75,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/hardening
76,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/information-security-risk-management
77,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/classification-levels
78,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/sensitive-data-classification
79,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/protect-sensitive-data
80,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/policies-regulations
81,https://safecomputing.umich.edu/protect-the-u/compliance/compliance-table
82,https://safecomputing.umich.edu/protect-the-u/compliance/general-data-protection-regulation-compliance
83,https://safecomputing.umich.edu/protect-the-u/compliance/cryptocurrency-mining
84,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/general-data-protection-regulation-compliance/faq
85,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/general-data-protection-regulation-compliance/qa-0972618
86,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#e582819597c895978a8f808691a590888c868dcb808190
87,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/general-data-protection-regulation-compliance
88,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/policies-regulations/gdpr-toolkit
89,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/policies-regulations/general-data-protection-regulation-compliance
90,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#08787a617e696b71487d65616b60266d6c7d
91,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/policies-regulations/gdpr-toolkit/self-assessment
92,https://safecomputing.umich.edu/protect-the-u/compliance/gdpr-toolkit
93,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#e68f94848e958495a6938b8f858ec8838293d99593848c838592dba1a2b6b4c3d4d6a795958395958b838892c3d4d6808994c3d4d6b48395838794858ec3d4d6b59293829f
94,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#deb7acbcb3bbba9eabb3b7bdb6f0bbbaab
95,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#116163786770726851647c7872793f7475642e6264737b7472652c565541433c727e7c617d78707f65317d707f7664707674
96,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#daaaa8b3acbbb9a39aafb7b3b9b2f4bfbeafe5a9afb8b0bfb9aee79d9e8a88ffe8ea8eb5b5b1b3ae
97,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#117863737962736251647c7872793f7475642e6264737b7472652c565541433423215062627462627c747f65342321777e6334232143746274706372793423214265647568
98,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#c6afb4a4aba3a286b3abafa5aee8a3a2b3
99,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#224b50404a51405162574f4b414a0c4746571d515740484741561f656672700710126351514751514f474c56071012444d50071012704751474350414a071012715657465b
100,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#6e071c0c030b0a2e1b03070d06400b0a1b
101,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#19696b706f787a60596c74707a71377c7d6c266a6c7b737c7a6d245e5d494b347a767469757078776d397578777e6c787e7c
102,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#1363617a6572706a53667e7a707b3d7677662c606671797670672e54574341362123477c7c787a67
103,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#1565677c6374766c5560787c767d3b707160
104,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#106062796671736950657d7973783e757465
105,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#80f0f2e9f6e1e3f9c0f5ede9e3e8aee5e4f5
106,https://safecomputing.umich.edu/dataguide/
107,https://safecomputing.umich.edu/dataguide/?q=node/240
108,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#beecdbcddbdfccddd690f7d0d8d1ccd3dfcad7d1d090eddbddcbccd7cac7fecbd3d7ddd690dbdacb
109,https://safecomputing.umich.edu/be-aware/copyright-compliance
110,https://safecomputing.umich.edu/protect-yourself/copyright-compliance/notification
111,https://safecomputing.umich.edu/protect-yourself/copyright-compliance
112,https://safecomputing.umich.edu/protect-yourself/copyright-compliance/help
113,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#f1c5b9b4bda1b1849c989299df949584
114,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#ea89859a9398838d829eaa9f87838982c48f8e9f
115,https://safecomputing.umich.edu/protect-yourself/copyright-compliance/annual-copyright-compliance-message-students
116,https://safecomputing.umich.edu/
117,https://safecomputing.umich.edu/dataguide
118,https://safecomputing.umich.edu/information-security-requirements
119,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/access-authorization-authentication
120,https://safecomputing.umich.edu/information-security-requirements#DS22
121,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/encryption
122,https://safecomputing.umich.edu/information-security-requirements#DS15
123,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/network-security-management
124,https://safecomputing.umich.edu/it-security-professionals/tools-templates/mitn
125,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/network-security-management/network-security-threat-detection
126,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#1e776a6d30776d30706d715e6b73777d76307b7a6b
127,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#09797b607f686a70497c64606a61276c6d7c
128,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#54191d001a793d3a323b1421393d373c7a313021
129,https://safecomputing.umich.edu/security-alerts/do-not-use-u-m-resources-cryptocurrency-mining
130,https://safecomputing.umich.edu/security-alerts
131,https://safecomputing.umich.edu/security-alerts/update-google-chrome-fix-zero-day-vulnerability
132,https://safecomputing.umich.edu/crowdstrike-falcon
133,https://safecomputing.umich.edu/crowdstrike-falcon/endpoint-protection
134,https://safecomputing.umich.edu/crowdstrike-falcon/antivirus-help
135,https://safecomputing.umich.edu/crowdstrike-falcon/faq
136,https://safecomputing.umich.edu/protect-the-u/manage-um-workstations/antivirus-um
137,https://safecomputing.umich.edu/protect-the-u/manage-um-workstations/erasing-um-owned-devices
138,https://safecomputing.umich.edu/protect-the-u/manage-um-workstations/self-managing-computer-device
139,https://safecomputing.umich.edu/it-security-professionals/security-unit-liaisons/directory
140,https://safecomputing.umich.edu/protect-the-u/manage-um-workstations/self-managing-responsibilities-expectations
141,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/backup-um-data
142,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/disaster-recovery-management
143,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/information-security-risk-management/mission-critical-systems-applications
144,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/disaster-recovery-management/create/#service-tier-criticality-levels
145,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/information-security-risk-management
146,https://safecomputing.umich.edu/it-security-professionals/tools-templates/logging
147,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/security-log-management
148,https://safecomputing.umich.edu/it-security-professionals/tools-templates/checking-for-compromise
149,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#0774626472756e737e47726a6e646f29626372
150,https://safecomputing.umich.edu/information-security-requirements#DS19
151,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/physical-security
152,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/physical-security/determine-physical-needs
153,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/physical-security/assess-physical-risks
154,https://safecomputing.umich.edu/information-security-requirements#DS17
155,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/secure-coding
156,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/secure-coding/best-practices
157,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/vulnerability-management/ethical-hacking
158,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/services/vulnerability-scanning
159,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/vulnerability-management/
160,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/secure-coding/guidance-and-resources
161,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/secure-coding/testing-services
162,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/examples-by-level
163,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/examples
164,https://safecomputing.umich.edu/dataguide/?q=node/64
165,https://safecomputing.umich.edu/dataguide/?q=node/89
166,https://safecomputing.umich.edu/dataguide/?q=node/61
167,https://safecomputing.umich.edu/dataguide/?q=node/65
168,https://safecomputing.umich.edu/dataguide/?q=node/66
169,https://safecomputing.umich.edu/dataguide/?q=node/88
170,https://safecomputing.umich.edu/dataguide/?q=node/59
171,https://safecomputing.umich.edu/dataguide/?q=node/67
172,https://safecomputing.umich.edu/dataguide/?q=node/150
173,https://safecomputing.umich.edu/dataguide/?q=node/62
174,https://safecomputing.umich.edu/dataguide/?q=node/90
175,https://safecomputing.umich.edu/dataguide/?q=node/63
176,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/umids-require-protection
177,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/securely-dispose-of-media
178,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/securely-dispose-of-media#policies
179,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/erasing-u-m-owned-devices
180,https://safecomputing.umich.edu/protect-yourself/secure-your-devices/mobile/android
181,https://safecomputing.umich.edu/protect-yourself/be-safe-online/secure-connection
182,https://safecomputing.umich.edu/protect-yourself/travel-safely-with-technology/all-travelers
183,https://safecomputing.umich.edu/protect-yourself/travel-safely-with-technology/international-access-cloud-based-resources
184,https://safecomputing.umich.edu/protect-yourself/travel-safely-with-technology/safe-computing-when-traveling
185,https://safecomputing.umich.edu/be-aware/viruses
186,https://safecomputing.umich.edu/protect-yourself/secure-your-devices/anti-virus-personal
187,https://safecomputing.umich.edu/protect-the-u/manage-your-workstation/anti-virus-um
188,https://safecomputing.umich.edu/protect-yourself/travel-safely-with-technology/taking-tech-devices-across-international-borders
189,https://safecomputing.umich.edu/protect-yourself/be-safe-online/secure-connection/public-wifi
190,https://safecomputing.umich.edu/dataguide/?q=node/210
191,https://safecomputing.umich.edu/report-it-security-incident/
192,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#5320363026213a272a13263e3a303b7d363726
193,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#addec8ced8dfc4d9d4edd8c0c4cec583c8c9d8
194,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/personal-accounts
195,https://safecomputing.umich.edu/dataguide/?q=node/74
196,https://safecomputing.umich.edu/protect-yourself/secure-your-devices/mobile/chromebook
197,https://safecomputing.umich.edu/dataguide/?q=sensitive-data-related-to-a-service/209
198,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/copier-multi-function-data-security
199,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/destroy-devices-media
200,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/destroy-paper-media
201,https://safecomputing.umich.edu/protect-yourself/prepare-devices-disposal/securely-delete-files
202,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/physical-security/take-action-physically-secure
203,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/physical-security/test-audit-reassess-physical
204,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#b0c3d5d3c5c2d9c4c9f0c5ddd9d3d89ed5d4c5
205,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/server-database-hardening
206,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/vulnerability-management
207,https://safecomputing.umich.edu/it-security-professionals/unit-resources/recon
208,https://safecomputing.umich.edu/it-security-professionals/unit-resources
209,https://safecomputing.umich.edu/it-security-professionals/it-security-resources-your-unit/recon
210,https://safecomputing.umich.edu/it-security-professionals/it-security-program/it-security-info-stewardship
211,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data/sensitive-data-discovery
212,https://safecomputing.umich.edu/protect-privacy/privacy-u-m/personal-private-folder
213,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/disaster-recovery-management/create
214,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/disaster-recovery-management/maintain
215,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/backup-um-data/ransomware-mitigation
216,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/access-authorization-authentication/managing-privileged-accounts
217,https://safecomputing.umich.edu/protect-yourself/phishing-scams/protect-yourself-from-ransomware
218,https://safecomputing.umich.edu/training/phishing/
219,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/
220,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#4c1e293c233e381c24253f240c3921252f2462292839
221,https://safecomputing.umich.edu/protect-yourself/phishing-scams/email-guidelines
222,https://safecomputing.umich.edu/protect-yourself/phishing-scams/shortened-url-security
223,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#96e3fbf2fff1ffe2f7fad6e3fbfff5feb8f3f2e3
224,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/look-before-login
225,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/ransomware
226,https://safecomputing.umich.edu/protect-yourself/phishing-scams/legitimate-email-might-appear-phishy
227,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#1e77707871337f6d6d6b6c7f707d7b5e6b73777d76307b7a6b
228,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#d8b5b4bdb9aab6b1b6bfb1b6beb798b5bdbcf6adb5b1bbb0f6bdbcad
229,https://safecomputing.umich.edu/protect-yourself/phishing-scams/university-targets
230,https://safecomputing.umich.edu/protect-yourself/phishing-scams/how-um-reduces-malicious-email
231,https://safecomputing.umich.edu/?q=train/pre
232,https://safecomputing.umich.edu/protect-yourself/secure-your-devices/antivirus-personal
233,https://safecomputing.umich.edu/media-archive
234,https://safecomputing.umich.edu/protect-yourself/manage-your-passwords-faq
235,https://safecomputing.umich.edu/protect-yourself/be-safe-online/web-browser-security-and-privacy
236,https://safecomputing.umich.edu/protect-yourself/be-safe-online/website-checker-extension
237,https://safecomputing.umich.edu/website-checker-extension
238,https://safecomputing.umich.edu/./
239,https://safecomputing.umich.edu/michigan-medicine
240,https://safecomputing.umich.edu/michigan-medicine/employee-resources
241,https://safecomputing.umich.edu/michigan-medicine/employee-resources/understand-it-security-risks
242,https://safecomputing.umich.edu/michigan-medicine/employee-resources/simulated-phishing-training
243,https://safecomputing.umich.edu/michigan-medicine/trusted-service-providers
244,https://safecomputing.umich.edu/michigan-medicine/trusted-service-providers/new-tsp-resources
245,https://safecomputing.umich.edu/michigan-medicine/trusted-service-providers/submit-mmiar
246,https://safecomputing.umich.edu/michigan-medicine/trusted-service-providers/manage-vulnerabilities
247,https://safecomputing.umich.edu/michigan-medicine/trusted-service-providers/manage-risk-assessments
248,https://safecomputing.umich.edu/michigan-medicine/trusted-service-providers/submit-rdr
249,https://safecomputing.umich.edu/michigan-medicine/umhw-sparrow
250,https://safecomputing.umich.edu/michigan-medicine/about
251,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#8dccfee6a0cef4efe8fffee8eef8ffe4f9f4cde0e8e9a3f8e0e4eee5a3e8e9f8
252,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#7b3a0810563802191e09081e180e09120f023b161e1f550e16121813551e1f0e
253,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#9edfedf5b3dde7fcfbecedfbfdebecf7eae7def3fbfab0ebf3f7fdf6b0fbfaeb
254,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#b8f9cbd395fbc1daddcacbdddbcdcad1ccc1f8d5dddc96cdd5d1dbd096dddccd
255,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#bcfdcfd791ffc5ded9cecfd9dfc9ced5c8c5fcd1d9d892c9d1d5dfd492d9d8c9
256,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#6c2d1f07412f150e091e1f090f191e0518152c010908421901050f0442090819
257,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#f1b0829adcb2889394838294928483988588b19c9495df849c989299df949584
258,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#b1f0c2da9cf2c8d3d4c3c2d4d2c4c3d8c5c8f1dcd4d59fc4dcd8d2d99fd4d5c4
259,https://safecomputing.umich.edu/michigan-medicine/employee-resources/simulated-phishing-training/phishing-101
260,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#f7b6849cdab48e95928584929482859e838eb79a9293d9829a9e949fd9929382
261,https://safecomputing.umich.edu/michigan-medicine/employee-resources/simulated-phishing-training/program
262,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/services/simulated-phishing-michigan-medicine
263,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#e5b780958a9791b58d8c968da590888c868dcb808190
264,https://safecomputing.umich.edu/dont-fall-for-phish/
265,https://safecomputing.umich.edu/protect-yourself/phishing-scams/spear-phishing
266,https://safecomputing.umich.edu/protect-yourself/phishing-scams/shared-documents
267,https://safecomputing.umich.edu/protect-yourself/phishing-scams/look-before-login
268,https://safecomputing.umich.edu/phishing-alerts
269,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email
270,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#b8eaddc8d7cacce8d0d1cbd0f8cdd5d1dbd096dddccd
271,https://safecomputing.umich.edu/phishing-alerts/email-impersonating-u-m-qr-code-asking-two-factor-confirmation-2024-04-30-000000
272,https://safecomputing.umich.edu/phishing-alerts/freshmen-housing-university-michigan-2024-04-16-000000
273,https://safecomputing.umich.edu/phishing-alerts/remote-tech-support-scams-2023-12-20-000000
274,https://safecomputing.umich.edu/phishing-alerts/scams-utilizing-duo-steal-pass-codes-and-prompt-pushes-2023-11-03-000000
275,https://safecomputing.umich.edu/phishing-alerts/scams-utilizing-%E2%80%9Csecure%E2%80%9D-document-services-eg-docusign-2023-11-03-000000
276,https://safecomputing.umich.edu/phishing-alerts/robocall-phishing-scam-referring-mandated-u-m-password-change-2023-09-13-000000
277,https://safecomputing.umich.edu/phishing-alerts/earn-500-weekly-remote-assistant-job-offer-2023-07-27-000000
278,https://safecomputing.umich.edu/phishing-alerts/request-nyuad-review-research-proposal-2023-07-24-000000
279,https://safecomputing.umich.edu/phishing-alerts/final-attempt-2023-07-20-000000
280,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#67150203060413020327120a0e040f49020312
281,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#12607776737166777652757f737b7e3c717d7f
282,https://safecomputing.umich.edu/phishing-alerts/support-christina-2023-06-19-000000
283,https://safecomputing.umich.edu/phishing-alerts/housing-contract-scam-2023-05-16-000000
284,https://safecomputing.umich.edu/phishing-alerts/quick-piano-offer-2023-05-09-000000
285,https://safecomputing.umich.edu/phishing-alerts/job-scams-targeting-u-m-students-2023-05-02-000000
286,https://safecomputing.umich.edu/phishing-alerts/item-shared-you-filename-variespdf-2022-12-06-000000
287,https://safecomputing.umich.edu/phishing-alerts/unwanted-mailing-list-sign-2022-11-18-000000
288,https://safecomputing.umich.edu/phishing-alerts/duo-authentication-2022-06-02-000000
289,https://safecomputing.umich.edu/phishing-alerts/paypal-invoice-scam-subjects-may-vary-2022-05-11-000000
290,https://safecomputing.umich.edu/phishing-alerts/fraudulent-job-offers-impersonating-u-m-faculty-2022-04-19-000000
291,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/how-to-spot-a-spoof
292,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/report-phishing-email
293,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#8fddeaffe0fdfbdfe7e6fce7cffae2e6ece7a1eaebfa
294,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#683a0d18071a1c3800011b00281d05010b00460d0c1d
295,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#6a380f1a05181e3a020319022a1f07030902440f0e1f
296,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#e8ba8d98879a9cb880819b80a89d85818b80c68d8c9d
297,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#c290a7b2adb0b692aaabb1aa82b7afaba1aaeca7a6b7
298,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#6b390e1b04191f3b030218032b1e06020803450e0f1e
299,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#acfec9dcc3ded8fcc4c5dfc4ecd9c1c5cfc482c9c8d9
300,https://safecomputing.umich.edu/be-aware/identity-theft
301,https://safecomputing.umich.edu/be-aware/compromised-accounts
302,https://safecomputing.umich.edu/protect-yourself/protect-your-passwords/password-security-checklist
303,https://safecomputing.umich.edu/phishing-alerts/unauthorized-login-attempt-2022-03-08-000000
304,https://safecomputing.umich.edu/phishing-alerts/admin-umichedu-2022-02-24-000000
305,https://safecomputing.umich.edu/phishing-alerts/email-verification-2021-11-30-000000
306,https://safecomputing.umich.edu/phishing-alerts/you-still-have-incoming-messages-pending-2021-11-16-000000
307,https://safecomputing.umich.edu/phishing-alerts/action-required-umichedu-covid-19-follow-vaccination-policy11122021-65716-am-2021-11
308,https://safecomputing.umich.edu/protect-yourself/scams-fraud/coronavirus
309,https://safecomputing.umich.edu/phishing-alerts/vaccination-misinformation-scam-subjects-may-vary-2021-03-25-000000
310,https://safecomputing.umich.edu/phishing-alerts/info-message-all-umich-staff-44963863449-9152021-2021-09-14-000000
311,https://safecomputing.umich.edu/phishing-alerts/remittance-advice-your-approval-2021-09-21-000000
312,https://safecomputing.umich.edu/phishing-alerts/document-shared-you-faculty-distribution-listdocx-2021-09-20-000000
313,https://safecomputing.umich.edu/phishing-alerts/covid-19-vaccination-portal-linked-coverified-app-2021-09-17-000000
314,https://safecomputing.umich.edu/phishing-alerts/important-message-2021-09-13-000000
315,https://safecomputing.umich.edu/phishing-alerts/university-michigan-account-migration-2021-09-08-000000
316,https://safecomputing.umich.edu/phishing-alerts/receipt-2021-08-31-000000
317,https://safecomputing.umich.edu/phishing-alerts/booking-confirmation-2021-08-30-000000
318,https://safecomputing.umich.edu/phishing-alerts/account-warning-undelivered-mails-uniqname-umichedu-kindly-rectify-2021-08-24-000000
319,https://safecomputing.umich.edu/phishing-alerts/re-urgent-request-2021-07-06-000000
320,https://safecomputing.umich.edu/phishing-alerts/1-new-message-university-michigan-2021-06-30-000000
321,https://safecomputing.umich.edu/phishing-alerts/it-security-update-2021-06-14-000000
322,https://safecomputing.umich.edu/phishing-alerts/fwd-your-caller-left-you-1-new-voice-note-29-sec-2021-06-14-000000
323,https://safecomputing.umich.edu/phishing-alerts/you-received-voicemail-2021-05-11-000000
324,https://safecomputing.umich.edu/phishing-alerts/covid-test-results-2021-03-10-000000
325,https://safecomputing.umich.edu/phishing-alerts/notificationscenter-2021-02-08-000000
