,failed_links
107,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 17.jpg
108,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 16.jpg
109,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 13.jpg
110,https://safecomputing.umich.edu/events/dissonance-series/suggest-a-speaker.php
111,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 14.jpg
112,https://safecomputing.umich.edu/sites/default/files/Infographic.png
113,https://safecomputing.umich.edu/sites/default/files/SUMIT2020_PrivacyAndAppropriateUseOfData.pdf
114,https://safecomputing.umich.edu/michigan-medicine/review-in-2
115,https://safecomputing.umich.edu/protect-yourself/secure-your-devices/personal-computer/windows/windows-7-mitigation
116,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/examples
117,https://safecomputing.umich.edu/events/sumit/2019/register
118,https://safecomputing.umich.edu/events/sumit/2020
119,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/how-um-reduces-malicious-email
120,https://safecomputing.umich.edu/publications/communication-archive/6656
121,https://safecomputing.umich.edu/privacy/engagement
122,https://safecomputing.umich.edu/tips/ransomware-dont-pay-ransom
123,https://safecomputing.umich.edu/it-security-professionals/tools-templates/group-policy-resources
124,https://safecomputing.umich.edu/it-security-professionals/tools-templates/mitigate-for-units
125,https://safecomputing.umich.edu/events/dissonance/what-does-big-tech-owe-us
126,https://safecomputing.umich.edu/new
127,https://safecomputing.umich.edu/publications/communication-archive/6657
128,https://safecomputing.umich.edu/tips/turn-two-factor-authentication
129,https://safecomputing.umich.edu/events/cybersecurity-awareness-month-2022
130,https://safecomputing.umich.edu/be-aware/privacy/choose-privacy-on-the-web
131,https://safecomputing.umich.edu/tips/look-you-log
132,https://safecomputing.umich.edu/tips/shared-document-emails-can-be-traps
133,https://safecomputing.umich.edu/phishing-and-suspicious-email/
134,https://safecomputing.umich.edu/tips/video-secure-your-devices-you-and-u
135,https://safecomputing.umich.edu/phishing-scams
136,https://safecomputing.umich.edu/tips/video-safe-computing-when-traveling
137,https://safecomputing.umich.edu/be-aware/privacy/privacy-and-social-media
138,https://safecomputing.umich.edu/be-aware/privacy
139,https://safecomputing.umich.edu/phishing_alerts/
140,https://safecomputing.umich.edu/it-security-professionals/it-security-resources-your-unit/vendor-security-and-compliance-assessment
141,https://safecomputing.umich.edu/protect-privacy/privacy-u-m/videoconferencing/recording-privacy-concerns-faq
142,https://safecomputing.umich.edu/tips/5-tips-avoid-online-tax-fraud
143,https://safecomputing.umich.edu/it-security-professionals/it-security-resources-your-unit/drbc
144,https://safecomputing.umich.edu/publications/posters-brochures/michigan-medicine-it-cyber-security
145,https://safecomputing.umich.edu/be-aware/privacy/privacy-resources
146,https://safecomputing.umich.edu/training/phishing/
147,https://safecomputing.umich.edu/implementing-spg-601.27/communities-of-practice
148,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/dont-fall-for-phish/
